trigger_dt,pitch_dt,ticker,sentiment
2025-12-22,2025-12-22,TTD,bullish
2025-12-22,2025-12-22,LRN,bullish
2026-01-22,2025-12-22,KYIV,bullish
2025-12-30,2025-12-22,UBER,bullish
2025-12-22,2025-12-22,LION,bullish
2025-12-22,2025-12-22,ACHC,bullish
2026-02-02,2025-12-22,CROX,bullish
2026-02-19,2025-12-23,FJET,bullish
2025-12-23,2025-12-23,CPRT,bullish
2025-12-30,2025-12-23,GTE,bullish
2025-12-26,2025-12-23,AFCG,bullish
2025-12-29,2025-12-23,ROL,bullish
2025-12-23,2025-12-23,SUUN,bullish
2025-12-23,2025-12-23,AMP,bullish
2025-12-23,2025-12-23,VOD,bullish
2026-01-06,2025-12-24,BDX,bullish
2026-01-02,2025-12-24,NU,bullish
2025-12-24,2025-12-24,LICT,bullish
2025-12-24,2025-12-24,ADBE,bullish
2025-12-26,2025-12-25,CPRT,bullish
2025-12-26,2025-12-25,DUOL,bullish
2025-12-26,2025-12-25,AMZN,bullish
2025-12-30,2025-12-25,GWW,bearish
2025-12-26,2025-12-25,MELI,bullish
2026-01-05,2025-12-25,PGY,bullish
2025-12-26,2025-12-25,CRWV,bullish
2026-01-06,2025-12-25,CNNE,bullish
2026-01-06,2025-12-25,TMDX,bullish
2025-12-29,2025-12-25,VST,bullish
2025-12-26,2025-12-25,PYPL,bullish
2025-12-26,2025-12-26,ACMR,bullish
2025-12-26,2025-12-26,MU,bullish
2025-12-29,2025-12-27,CFNB,bullish
2025-12-29,2025-12-27,LULU,bullish
2026-01-05,2025-12-28,VALE,bullish
2025-12-29,2025-12-28,PLNT,bearish
2025-12-29,2025-12-28,VOD,bullish
2025-12-29,2025-12-28,OMDA,bullish
2025-12-29,2025-12-29,HIT,bullish
2025-12-29,2025-12-29,SNSE,bullish
2025-12-29,2025-12-29,DCTH,bullish
2025-12-29,2025-12-29,HROW,bullish
2026-01-05,2025-12-29,MOB,bullish
2025-12-30,2025-12-30,NCNO,bullish
2026-01-06,2025-12-30,DE,bullish
2026-01-02,2025-12-30,CTRA,bullish
2025-12-30,2025-12-30,TTD,bullish
2025-12-30,2025-12-30,WEAV,bullish
2026-01-29,2025-12-30,LITE,bullish
2025-12-30,2025-12-30,SPHR,bullish
2025-12-30,2025-12-30,TZOO,bullish
2025-12-30,2025-12-30,BA,bullish
2026-01-20,2025-12-30,RELY,bullish
2025-12-30,2025-12-30,NVDA,bullish
